resolution,frame_no,pts,codec,source_width,source_height,decode_ms,push_block_ms,app_to_dec_ms,dec_to_conv_ms,conv_to_sink_ms,display_ms,frame_interval_ms,queue_depth,decoded_at
1920x1080,72,2840000000,H.265,1920,1080,96.3533,0.022176,-1,-1,-1,15.6421,39.8871,2,2026-08-04 17:56:59
1920x1080,73,2880000000,H.265,1920,1080,98.1849,0.022369,-1,-1,-1,15.3723,40.4993,2,2026-08-04 17:56:59
1920x1080,74,2920000000,H.265,1920,1080,97.8954,0.0216,-1,-1,-1,18.042,41.0442,2,2026-08-04 17:57:00
1920x1080,75,2960000000,H.265,1920,1080,96.4639,0.022017,-1,-1,-1,15.7952,37.4836,2,2026-08-04 17:57:00
1920x1080,76,3000000000,H.265,1920,1080,95.947,0.022945,-1,-1,-1,15.4755,42.6365,2,2026-08-04 17:57:00
1920x1080,77,3040000000,H.265,1920,1080,96.6336,0.021536,-1,-1,-1,17.6353,37.3591,2,2026-08-04 17:57:00
1920x1080,78,3080000000,H.265,1920,1080,101.469,0.023169,-1,-1,-1,15.523,45.8261,2,2026-08-04 17:57:00
1920x1080,79,3120000000,H.265,1920,1080,97.1662,0.022144,-1,-1,-1,17.2876,34.8576,2,2026-08-04 17:57:00
1920x1080,80,3160000000,H.265,1920,1080,95.0803,0.015425,-1,-1,-1,17.0613,41.7237,2,2026-08-04 17:57:00
1920x1080,81,3200000000,H.265,1920,1080,134.358,0.087779,-1,-1,-1,18.7038,75.7319,2,2026-08-04 17:57:00
1920x1080,82,3240000000,H.265,1920,1080,125.246,0.017248,-1,-1,-1,17.9371,32.0054,3,2026-08-04 17:57:00
1920x1080,83,3280000000,H.265,1920,1080,80.7293,0.017248,-1,-1,-1,19.4881,27.5475,2,2026-08-04 17:57:00
1920x1080,84,3320000000,H.265,1920,1080,90.2654,0.017568,-1,-1,-1,16.2028,43.9676,2,2026-08-04 17:57:00
1920x1080,85,3360000000,H.265,1920,1080,107.159,0.025025,-1,-1,-1,12.5651,29.3371,2,2026-08-04 17:57:00
1920x1080,86,3400000000,H.265,1920,1080,99.0952,0.014304,-1,-1,-1,12.4424,33.4347,2,2026-08-04 17:57:00
1920x1080,87,3440000000,H.265,1920,1080,83.9869,0.051874,-1,-1,-1,12.6226,34.8035,2,2026-08-04 17:57:00
1920x1080,88,3480000000,H.265,1920,1080,93.6882,0.05597,-1,-1,-1,15.3711,42.5691,2,2026-08-04 17:57:00
1920x1080,89,3520000000,H.265,1920,1080,97.2224,0.014529,-1,-1,-1,17.3387,39.1732,2,2026-08-04 17:57:00
1920x1080,90,3560000000,H.265,1920,1080,95.103,0.021024,-1,-1,-1,15.6926,38.4948,2,2026-08-04 17:57:00
1920x1080,91,3600000000,H.265,1920,1080,98.0484,0.013376,-1,-1,-1,15.5447,42.9323,2,2026-08-04 17:57:00
1920x1080,92,3640000000,H.265,1920,1080,95.7522,0.020352,-1,-1,-1,17.527,36.9918,2,2026-08-04 17:57:00
1920x1080,93,3680000000,H.265,1920,1080,98.9712,0.022593,-1,-1,-1,15.9979,44.1513,2,2026-08-04 17:57:00
1920x1080,94,3720000000,H.265,1920,1080,96.7697,0.02272,-1,-1,-1,17.6552,36.9543,2,2026-08-04 17:57:00
1920x1080,95,3760000000,H.265,1920,1080,99.7564,0.023009,-1,-1,-1,16.0205,44.5152,2,2026-08-04 17:57:00
1920x1080,96,3800000000,H.265,1920,1080,98.217,0.023489,-1,-1,-1,11.0107,36.4714,2,2026-08-04 17:57:00
1920x1080,97,3840000000,H.265,1920,1080,94.544,0.023745,-1,-1,-1,15.8738,40.244,2,2026-08-04 17:57:00
1920x1080,98,3880000000,H.265,1920,1080,97.8836,0.023329,-1,-1,-1,15.6916,39.7423,2,2026-08-04 17:57:00
1920x1080,99,3920000000,H.265,1920,1080,98.4775,0.017088,-1,-1,-1,17.5458,42.3291,2,2026-08-04 17:57:01
1920x1080,100,3960000000,H.265,1920,1080,96.7616,0.020225,-1,-1,-1,16.2031,36.5181,2,2026-08-04 17:57:01
1920x1080,101,4000000000,H.265,1920,1080,96.7606,0.019009,-1,-1,-1,17.116,43.9919,2,2026-08-04 17:57:01
1920x1080,102,4040000000,H.265,1920,1080,97.6669,0.016385,-1,-1,-1,23.5717,37.2959,2,2026-08-04 17:57:01
1920x1080,103,4080000000,H.265,1920,1080,96.7299,0.015296,-1,-1,-1,16.9682,41.4947,2,2026-08-04 17:57:01
1920x1080,104,4120000000,H.265,1920,1080,100.565,0.021792,-1,-1,-1,12.0965,40.863,2,2026-08-04 17:57:01
1920x1080,105,4160000000,H.265,1920,1080,97.7921,0.021505,-1,-1,-1,16.2747,39.5192,2,2026-08-04 17:57:01
1920x1080,106,4200000000,H.265,1920,1080,127.167,0.020449,-1,-1,-1,18.2847,71.0187,2,2026-08-04 17:57:01
1920x1080,107,4240000000,H.265,1920,1080,120.359,0.01312,-1,-1,-1,12.644,31.1737,3,2026-08-04 17:57:01
1920x1080,108,4280000000,H.265,1920,1080,70.7297,0.01312,-1,-1,-1,15.4831,21.2617,2,2026-08-04 17:57:01
1920x1080,109,4320000000,H.265,1920,1080,102.43,0.021152,-1,-1,-1,14.9639,64.4296,3,2026-08-04 17:57:01
1920x1080,110,4360000000,H.265,1920,1080,110.672,0.021152,-1,-1,-1,16.7047,23.0678,2,2026-08-04 17:57:01
1920x1080,111,4400000000,H.265,1920,1080,85.7045,0.033313,-1,-1,-1,15.0964,26.893,2,2026-08-04 17:57:01
1920x1080,112,4440000000,H.265,1920,1080,89.3441,0.017632,-1,-1,-1,17.6228,36.0604,2,2026-08-04 17:57:01
1920x1080,113,4480000000,H.265,1920,1080,97.9633,0.022369,-1,-1,-1,15.7665,45.5883,2,2026-08-04 17:57:01
1920x1080,114,4520000000,H.265,1920,1080,97.3892,0.018273,-1,-1,-1,13.6786,37.4096,2,2026-08-04 17:57:01
1920x1080,115,4560000000,H.265,1920,1080,97.6779,0.020993,-1,-1,-1,18.7294,42.4056,2,2026-08-04 17:57:01
1920x1080,116,4600000000,H.265,1920,1080,97.3172,0.016128,-1,-1,-1,29.2885,37.9679,2,2026-08-04 17:57:01
